sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
129,0.35310419494368744,0.16450120844172514,11,4,7,0,0,0,9.94407936662626,177,3
130,0.04290362900856387,0.02101669232706163,0,0,0,1,0,0,9.737967342816235,200,2
131,0.03204632660528209,0.017996422061573123,0,0,0,1,0,0,10.03066251397137,200,2
132,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
133,2.4243789312026562,0.8508256450462143,9,7,2,1,0,5,10.59015051854814,200,3
134,0.30778307894105666,0.12793473394093188,11,4,7,0,0,0,10.094710791530474,85,2
135,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
136,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
137,0.0547062727678771,0.033534328115657853,0,0,0,0,0,0,12.09937092084022,190,2
138,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
139,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
140,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
141,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
142,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.90026786828991,200,3
143,0.14235890465976342,0.09819406677257687,0,0,0,1,0,0,9.78753468704787,200,4
144,0.38831625648572066,0.13192858230529997,7,1,6,1,0,1,9.768455189783841,200,3
145,2.1120021801972304,1.240905111992912,3,0,3,3,1,9,10.498460518354333,200,3
146,1.5123626177478653,0.4272992969648488,7,7,0,1,0,5,13.740277502970065,68,2
147,0.09032231376827282,0.0815531541848497,0,0,0,1,0,0,9.433735840567763,200,3
148,1.1792312893176509,0.3775540726120397,19,12,7,1,0,5,11.759347043106288,192,4
149,1.1792312893176509,0.35653245824727425,0,0,0,1,0,5,11.915919990851298,192,3
150,0.9676809908469959,0.3792757541203059,18,11,7,0,0,0,11.14459283828872,192,4
151,1.8449207302020256,0.4156517561160735,11,4,7,1,0,5,12.173403252158955,192,4
152,0.35592473124810176,0.16297031277113513,11,4,7,1,0,1,9.443646382045124,200,4
153,1.1792312893176509,0.3775540726120397,19,12,7,1,0,5,11.759347043106288,192,4
154,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
155,0.378679449492335,0.1804634459201509,20,13,7,2,0,0,9.485003625884719,200,4
